pkg,windows,event_sum,event_max,event_mean,event_p50
com.tencent.mobileqq,127,1839,170,14.48,3
com.android.systemui,59,1719,159,29.14,17
com.google.android.apps.nexuslauncher,40,1550,182,38.75,7.0
com.tencent.mobileqq:MSF,70,895,105,12.79,5.0
com.tencent.mobileqq:tool,26,314,57,12.08,1.5
com.ss.android.ugc.aweme,12,227,85,18.92,8.5
com.google.android.gms.persistent,21,196,30,9.33,7
com.tencent.mm,9,174,92,19.33,9
com.google.android.inputmethod.latin,17,150,54,8.82,4
com.tencent.mm:push,9,133,80,14.78,3
com.google.android.apps.scone,76,98,7,1.29,1.0
com.termux,6,91,40,15.17,7.5
com.google.android.gms,12,71,21,5.92,1.5
com.google.android.as,13,67,17,5.15,3
com.google.android.providers.media.module,9,56,25,6.22,4
com.google.android.pixelsystemservice,21,51,7,2.43,2
com.google.android.apps.photos,2,41,40,20.5,20.5
com.android.hbmsvmanager,6,20,10,3.33,1.5
com.google.android.connectivitythermalpowermanager,18,19,2,1.06,1.0
com.google.android.webview:sandboxed_process0:org.chromium.content.app.SandboxedProcessService0:0,2,16,12,8.0,8.0
com.google.android.grilservice,3,9,5,3.0,3
com.shannon.imsservice,3,9,6,3.0,2
com.google.android.webview:webview_service,1,8,8,8.0,8
com.google.android.gms.unstable,3,4,2,1.33,1
com.google.android.apps.nbu.files,2,3,2,1.5,1.5
