window_sec,window_start_ns,window_end_ns,total_events,sched_switch,sched_waking,sched_wakeup,cpu_frequency
0,195940552382782,195941552382782,81589,40236,20412,20409,532
1,195941552382782,195942552382782,21040,10421,5267,5268,84
2,195942552382782,195943552382782,23664,11404,5951,5951,358
3,195943552382782,195944552382782,18834,9260,4723,4723,128
4,195944552382782,195945552382782,28188,13845,7027,7026,290
5,195945552382782,195946552382782,30659,15178,7651,7652,178
6,195946552382782,195947552382782,19482,9610,4868,4868,136
7,195947552382782,195948552382782,20220,9983,5067,5066,104
8,195948552382782,195949552382782,26476,12812,6695,6695,274
9,195949552382782,195950552382782,24196,11939,6040,6041,176
10,195950552382782,195951552382782,21206,10470,5316,5316,104
11,195951552382782,195952552382782,20888,10218,5240,5240,190
12,195952552382782,195953552382782,20892,10276,5228,5228,160
13,195953552382782,195954552382782,27311,13217,6869,6862,363
14,195954552382782,195955552382782,28529,14086,7141,7142,160
15,195955552382782,195956552382782,13790,6688,3433,3433,236
16,195956552382782,195957552382782,10005,4911,2511,2511,72
17,195957552382782,195958552382782,9964,4902,2507,2507,48
18,195958552382782,195959552382782,41747,19928,10434,10435,950
19,195959552382782,195960552382782,111241,53915,27730,27730,1866
20,195960552382782,195961552382782,138730,67676,34711,34711,1632
21,195961552382782,195962552382782,144473,70461,36160,36160,1692
22,195962552382782,195963552382782,145799,71075,36505,36505,1714
23,195963552382782,195964552382782,137669,66786,34512,34511,1860
24,195964552382782,195965552382782,135828,65841,34022,34023,1942
25,195965552382782,195966552382782,136052,65676,34252,34252,1872
26,195966552382782,195967552382782,140610,68047,35338,35339,1886
27,195967552382782,195968552382782,145036,70927,36196,36195,1718
28,195968552382782,195969552382782,142792,69833,35657,35658,1644
29,195969552382782,195970552382782,150462,73517,37558,37557,1830
30,195970552382782,195971552382782,143551,70216,35837,35838,1660
31,195971552382782,195972552382782,142454,69664,35583,35583,1624
32,195972552382782,195973552382782,142174,69434,35523,35523,1694
33,195973552382782,195974552382782,137047,66988,34224,34223,1612
34,195974552382782,195975552382782,31535,15336,7874,7875,450
